Make,Year,Fuel ,HP,Cylinders,Transmission Type,Driven_Wheels,Doors,Size,highway MPG,city mpg,Price
Volvo,1993,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,25,18,2000
Mazda,2012,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,35,29,16020
Mazda,2012,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,35,29,14530
Mazda,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,34,28,16860
Mazda,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,34,28,15370
Mazda,2013,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,34,28,17050
Mazda,2013,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,34,28,15560
Mazda,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,35,29,16210
Mazda,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,35,29,14720
Mazda,2014,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,34,28,17050
Mazda,2014,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,34,28,15560
Mazda,2014,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,35,29,16210
Mazda,2014,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,35,29,14720
BMW,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,Midsize,30,20,47250
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Midsize,33,22,41850
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Midsize,33,22,41850
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Midsize,34,22,43000
BMW,2016,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,Midsize,30,20,49200
BMW,2017,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,4,Midsize,30,20,49650
BMW,2017,premium unleaded (required),248,4,AUTOMATIC,all wheel drive,4,Midsize,33,23,43950
BMW,2015,premium unleaded (required),241,4,AUTOMATIC,all wheel drive,4,Midsize,33,22,41950
BMW,2015,premium unleaded (required),335,6,AUTOMATIC,rear wheel drive,4,Midsize,33,25,50150
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,Midsize,35,23,37500
BMW,2015,premium unleaded (required),300,6,AUTOMATIC,rear wheel drive,4,Midsize,32,21,43750
BMW,2015,diesel,180,4,AUTOMATIC,rear wheel drive,4,Midsize,45,32,39000
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Midsize,33,22,39500
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Midsize,33,22,39500
BMW,2015,premium unleaded (required),180,4,AUTOMATIC,all wheel drive,4,Midsize,35,23,34950
BMW,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,Midsize,30,20,45750
BMW,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,43,31,43450
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,Midsize,35,23,37500
BMW,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,43,31,41000
BMW,2015,premium unleaded (required),180,4,AUTOMATIC,rear wheel drive,4,Midsize,36,24,32950
BMW,2016,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,40,30,41850
BMW,2016,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,4,Midsize,33,22,47800
BMW,2016,diesel,180,4,AUTOMATIC,rear wheel drive,4,Midsize,42,32,39850
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,Midsize,34,22,38350
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Midsize,34,22,40350
BMW,2016,premium unleaded (required),240,4,MANUAL,rear wheel drive,4,Midsize,34,22,38350
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Midsize,34,22,42650
BMW,2016,premium unleaded (required),180,4,AUTOMATIC,rear wheel drive,4,Midsize,36,24,33150
BMW,2016,premium unleaded (required),180,4,AUTOMATIC,all wheel drive,4,Midsize,35,23,35150
BMW,2016,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,40,30,44150
BMW,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,4,Midsize,33,22,45800
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,4,Midsize,34,23,38750
BMW,2017,premium unleaded (recommended),180,4,AUTOMATIC,all wheel drive,4,Midsize,34,23,35450
BMW,2017,premium unleaded (recommended),180,4,AUTOMATIC,rear wheel drive,4,Midsize,35,23,33450
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,4,Midsize,33,23,40750
BMW,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,40,30,42250
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,4,Midsize,33,23,42950
BMW,2017,diesel,180,4,AUTOMATIC,rear wheel drive,4,Midsize,42,32,40250
BMW,2017,premium unleaded (recommended),320,6,AUTOMATIC,all wheel drive,4,Midsize,31,21,49900
BMW,2017,premium unleaded (recommended),320,6,AUTOMATIC,rear wheel drive,4,Midsize,32,21,47900
BMW,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,40,30,44450
Mercedes-Benz,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Large,19,15,2232
Mercedes-Benz,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Midsize,20,15,2000
Mercedes-Benz,1991,regular unleaded,158,6,AUTOMATIC,rear wheel drive,4,Midsize,22,17,2000
Mercedes-Benz,1991,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,20,15,2105
Mercedes-Benz,1991,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,18,15,2199
Mercedes-Benz,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Midsize,22,16,2000
Mercedes-Benz,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Large,19,15,2124
Mercedes-Benz,1991,regular unleaded,228,6,MANUAL,rear wheel drive,2,Compact,21,14,3552
Mercedes-Benz,1991,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2,Midsize,22,15,2179
Mercedes-Benz,1991,diesel,121,5,AUTOMATIC,rear wheel drive,4,Midsize,30,23,2000
Mercedes-Benz,1992,diesel,121,5,AUTOMATIC,rear wheel drive,4,Midsize,29,23,2000
Mercedes-Benz,1992,regular unleaded,228,6,AUTOMATIC,rear wheel drive,4,Large,17,14,2377
Mercedes-Benz,1992,regular unleaded,228,6,MANUAL,rear wheel drive,2,Compact,21,15,3814
Mercedes-Benz,1992,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,19,15,2207
Mercedes-Benz,1992,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Midsize,20,15,2000
Mercedes-Benz,1992,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2,Midsize,21,15,2248
Mercedes-Benz,1992,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Midsize,22,16,2065
Mercedes-Benz,1992,diesel,148,6,AUTOMATIC,rear wheel drive,4,Large,22,18,2547
Mercedes-Benz,1992,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,18,15,2282
Mercedes-Benz,1992,regular unleaded,158,6,AUTOMATIC,rear wheel drive,4,Midsize,23,18,2000
Mercedes-Benz,1993,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,19,15,2544
Mercedes-Benz,1993,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2,Midsize,22,17,2397
Mercedes-Benz,1993,diesel,121,5,AUTOMATIC,rear wheel drive,4,Midsize,30,23,2000
Mercedes-Benz,1993,regular unleaded,228,6,MANUAL,rear wheel drive,2,Compact,21,14,4174
Mercedes-Benz,1993,regular unleaded,217,6,AUTOMATIC,rear wheel drive,4,Midsize,22,17,2187
Mercedes-Benz,1993,diesel,148,6,AUTOMATIC,rear wheel drive,4,Large,22,18,2729
Mercedes-Benz,1993,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,19,15,2433
Mercedes-Benz,1993,regular unleaded,194,6,AUTOMATIC,rear wheel drive,4,Midsize,23,17,2247
Mercedes-Benz,1993,regular unleaded,228,6,AUTOMATIC,rear wheel drive,4,Large,18,14,2540
Mitsubishi,1997,regular unleaded,218,6,MANUAL,front wheel drive,2,Compact,23,17,3941
Mitsubishi,1997,regular unleaded,161,6,MANUAL,front wheel drive,2,Compact,22,17,3295
Mitsubishi,1997,regular unleaded,320,6,MANUAL,all wheel drive,2,Compact,22,16,6008
Mitsubishi,1998,regular unleaded,320,6,MANUAL,all wheel drive,2,Compact,22,16,6710
Mitsubishi,1998,regular unleaded,161,6,MANUAL,front wheel drive,2,Compact,22,17,3701
Mitsubishi,1998,regular unleaded,218,6,MANUAL,front wheel drive,2,Compact,23,17,4671
Mitsubishi,1999,regular unleaded,218,6,MANUAL,front wheel drive,2,Compact,23,17,5306
Mitsubishi,1999,regular unleaded,320,6,MANUAL,all wheel drive,2,Compact,22,16,7600
Mitsubishi,1999,regular unleaded,161,6,MANUAL,front wheel drive,2,Compact,22,17,4090
Chrysler,2015,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Large,27,18,37570
Chrysler,2015,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,31,19,31695
Chrysler,2015,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,31,19,38070
Chrysler,2015,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,27,18,44895
Chrysler,2015,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Large,31,19,35070
Chrysler,2015,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,31,19,42395
Chrysler,2015,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,27,18,34195
Chrysler,2015,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,27,18,40570
Chrysler,2016,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Large,27,18,38095
Chrysler,2016,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Large,31,19,35595
Chrysler,2016,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,27,18,45190
Chrysler,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,31,19,32260
Chrysler,2016,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,27,18,37755
Chrysler,2016,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,27,18,41055
Chrysler,2016,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Large,31,19,36090
Chrysler,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,31,19,42690
Chrysler,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,31,19,38555
Chrysler,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,31,19,35255
Chrysler,2016,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Large,27,18,38590
Chrysler,2016,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,27,18,34760
Chrysler,2017,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,27,18,41135
Chrysler,2017,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,27,18,45270
Chrysler,2017,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Large,27,18,38670
Chrysler,2017,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,30,19,38635
Chrysler,2017,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Large,30,19,36170
Chrysler,2017,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Large,27,18,38175
Chrysler,2017,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,30,19,32340
Chrysler,2017,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,30,19,42770
Chrysler,2017,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,27,18,34840
Chrysler,2017,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Large,30,19,35675
Chrysler,2002,premium unleaded (required),250,6,AUTOMATIC,front wheel drive,4,Large,24,16,32065
Chrysler,2002,premium unleaded (required),250,6,AUTOMATIC,front wheel drive,4,Large,24,16,28540
Chrysler,2003,premium unleaded (required),255,6,AUTOMATIC,front wheel drive,4,Large,25,16,32315
Chrysler,2003,regular unleaded,250,6,AUTOMATIC,front wheel drive,4,Large,25,16,28885
Chrysler,2004,regular unleaded,250,6,AUTOMATIC,front wheel drive,4,Large,25,16,29185
Chrysler,2004,premium unleaded (required),255,6,AUTOMATIC,front wheel drive,4,Large,25,16,32615
Nissan,1994,regular unleaded,222,6,MANUAL,rear wheel drive,2,Compact,22,16,2847
Nissan,1994,regular unleaded,222,6,MANUAL,rear wheel drive,2,Compact,22,16,2488
Nissan,1994,regular unleaded,300,6,MANUAL,rear wheel drive,2,Compact,22,16,2683
Nissan,1994,regular unleaded,222,6,MANUAL,rear wheel drive,2,Compact,22,16,2553
Nissan,1995,regular unleaded,300,6,MANUAL,rear wheel drive,2,Compact,22,16,3049
Nissan,1995,regular unleaded,222,6,MANUAL,rear wheel drive,2,Compact,22,17,2774
Nissan,1995,regular unleaded,222,6,MANUAL,rear wheel drive,2,Compact,22,17,2702
Nissan,1995,regular unleaded,222,6,MANUAL,rear wheel drive,2,Compact,22,17,3101
Nissan,1996,regular unleaded,300,6,MANUAL,rear wheel drive,2,Compact,22,16,3510
Nissan,1996,regular unleaded,222,6,MANUAL,rear wheel drive,2,Compact,22,17,3107
Nissan,1996,regular unleaded,222,6,MANUAL,rear wheel drive,2,Compact,22,17,3624
Nissan,1996,regular unleaded,222,6,MANUAL,rear wheel drive,2,Compact,22,17,3185
Mazda,1992,regular unleaded,82,4,MANUAL,front wheel drive,2,Compact,33,25,2000
Mazda,1992,regular unleaded,82,4,MANUAL,front wheel drive,2,Compact,33,25,2000
Mazda,1993,regular unleaded,82,4,MANUAL,front wheel drive,2,Compact,33,25,2000
Mazda,1993,regular unleaded,82,4,MANUAL,front wheel drive,2,Compact,32,24,2000
Mazda,1994,regular unleaded,82,4,MANUAL,front wheel drive,2,Compact,33,25,2000
Mercedes-Benz,1990,diesel,134,6,AUTOMATIC,rear wheel drive,4,Large,23,19,2144
Mercedes-Benz,1990,diesel,134,6,AUTOMATIC,rear wheel drive,4,Large,23,19,2098
Mercedes-Benz,1991,diesel,134,6,AUTOMATIC,rear wheel drive,4,Large,23,19,2178
Mercedes-Benz,1991,diesel,134,6,AUTOMATIC,rear wheel drive,4,Large,23,19,2311
Nissan,2007,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,23,17,36550
Nissan,2007,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,23,17,41250
Nissan,2007,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,24,17,30600
Nissan,2007,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,24,17,37100
Nissan,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,25,18,27900
Nissan,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,25,18,32700
Nissan,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,24,17,40250
Nissan,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,24,17,35550
Nissan,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,25,18,36100
Nissan,2007,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,24,17,33200
Nissan,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,24,17,37900
Nissan,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,25,18,29600
Nissan,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,25,18,38070
Nissan,2007,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,23,17,38900
Nissan,2008,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,24,17,33840
Nissan,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,24,17,38630
Nissan,2008,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,23,17,39630
Nissan,2008,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,24,17,37740
Nissan,2008,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,23,17,41980
Nissan,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,24,17,36280
Nissan,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,25,18,36740
